location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:15:00.000Z,2019-05-03T06:45:00+05:30,no2,30.8,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,o3,41.55,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,so2,3.5,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,pm25,18,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,pm10,79,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,no2,19.3,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,o3,25.09,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,co,480,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,so2,8.4,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,no2,31.6,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,pm10,100,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,pm25,33,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,o3,19.4,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,co,0.57,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,so2,2.4,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,no2,6.8,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,pm10,83,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T01:00:00.000Z,2019-05-03T06:30:00+05:30,pm25,30,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,pm25,30,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,pm10,83,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,no2,6.6,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,co,0.57,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Hombegowda Nagar, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,o3,19.6,µg/m³,12.938539,77.5901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,pm25,33,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,pm10,100,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,no2,29.7,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,co,450,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,o3,26.07,µg/m³,12.917348,77.622813,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,so2,3.36,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Peenya, Bengaluru - CPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,co,1100,µg/m³,13.0270199,77.494094,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Jayanagar 5th Block, Bengaluru - KSPCB",Bengaluru,IN,2019-05-03T00:45:00.000Z,2019-05-03T06:15:00+05:30,pm25,18,µg/m³,12.920984,77.584908,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
